"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "PostCSS", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/lib/api.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 7, 20, 101
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/lib/utils.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/main.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/AIOptimizationModal.jsx", "JavaScript JSX", 0, 200, 0, 0, 0, 0, 0, 0, 240, 44, 484
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/ARCampusVisualiser.jsx", "JavaScript JSX", 0, 215, 0, 0, 0, 0, 0, 0, 7, 18, 240
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/ARScene.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 5, 9, 84
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/AvatarMenu.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 8, 10, 131
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/BookApointment.jsx", "JavaScript JSX", 0, 393, 0, 0, 0, 0, 0, 0, 300, 75, 768
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/CameraView.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 5, 10, 139
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/CareerRecommendations.jsx", "JavaScript JSX", 0, 177, 0, 0, 0, 0, 0, 0, 4, 11, 192
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/CareerRoadmap.jsx", "JavaScript JSX", 0, 186, 0, 0, 0, 0, 0, 0, 0, 17, 203
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/pages/ChatInterface.jsx", "JavaScript JSX", 0, 211, 0, 0, 0, 0, 0, 0, 209, 50, 470
